id,question,answer,valid
1,Какой разъём используется для подключения стандартного сетевого соединительного кабеля?,RJ-99,false
1,Какой разъём используется для подключения стандартного сетевого соединительного кабеля?,RJ-2,false
1,Какой разъём используется для подключения стандартного сетевого соединительного кабеля?,RJ-11,false
1,Какой разъём используется для подключения стандартного сетевого соединительного кабеля?,RJ-45,true
2,BSOD это проблема софта или железа?,Проблема железа,false
2,BSOD это проблема софта или железа?,Проблема софта,false
2,BSOD это проблема софта или железа?,В основном проблема железа,false
2,BSOD это проблема софта или железа?,В основном проблема софта,false
2,BSOD это проблема софта или железа?,Оба варианта одинаково возможны,true
3,"Если Вы хотите добавить пользователя в домен, куда Вы его добавите?",Доменный лист,false
3,"Если Вы хотите добавить пользователя в домен, куда Вы его добавите?",Реестр,false
3,"Если Вы хотите добавить пользователя в домен, куда Вы его добавите?",Active Directory,true
3,"Если Вы хотите добавить пользователя в домен, куда Вы его добавите?",Директорию,false
4,Для чего в основном используется кодек?,Декодирование паролей,false
4,Для чего в основном используется кодек?,Декодирование аудио/видео потока,true
4,Для чего в основном используется кодек?,Шифрование данных,false
4,Для чего в основном используется кодек?,Сохранение контактной информации,false
5,Что означает аббревиатура RDP?,Removable Disk Placement,false
5,Что означает аббревиатура RDP?,Remote Desktop Protocol,true
5,Что означает аббревиатура RDP?,Right Desktop Placeholder,false
5,Что означает аббревиатура RDP?,"Ничего, RDP это не аббревиатура",false